start,end,text
16.416,114.76,Thank you.
178.4,178.9,來
185.472,186.472,Yeah.
189.664,190.164,Ah!
236.096,236.596,Yo!
238.112,238.612,No.
304.768,305.268,Oh.
460.576,461.416,Bye!
463.968,464.968,Shots over.
465.344,466.344,I know.
467.872,468.872,"Well,"
470.56,471.06,Bye!
477.696,478.696,I'm gonna get you!
497.664,498.164,Yeah.
499.424,500.424,See you again.
501.408,502.408,謝謝大家
501.92,502.42,You're gonna die!
503.072,504.072,Thank you.
507.584,508.584,私の出す
509.792,510.792,AHHHHH
525.28,525.78,응?
526.848,527.848,You did a great one.
528.64,529.84,Bye!
530.72,531.72,Yeah.
531.072,538.072,dirty day.
531.712,532.212,What are you doing?
533.28,535.28,I'm going to go.
533.664,535.664,We'll see you in the next video.
538.048,538.878,お疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお
539.424,540.424,You're gonna carry this.
540.288,540.788,안녕!
541.696,542.196,And let's go!
543.776,545.776,I'm gonna carry that.
544.64,545.14,Hey!
547.168,547.668,Oh my god.
551.296,553.296,so it's for that experience.
553.504,555.2040000000001,오!
556.224,556.724,Later.
557.664,558.164,그럼 안녕!
559.36,561.36,I'm gonna take this as a toast.
580.672,581.672,I'll take it home.
581.152,581.9720000000001,so that I'm in the go.
582.912,584.912,아...
583.296,584.296,안녕!
586.336,586.836,Yeah!
586.912,587.412,Oh.
588.16,589.16,Take a look.
589.248,591.248,またね
591.008,591.508,Bye!
591.872,592.872,You way too high.
594.656,595.496,Bye!
596.128,596.628,Yeah.
596.64,598.3199999999999,Stella's eating her back.
598.976,599.976,She's having...
599.872,600.872,cereal.
602.208,604.208,can you throw that in my garbage furnace?
604.608,605.928,They've forgotten the garbage.
606.048,606.548,But did it?
607.456,608.456,That's a different.
610.336,611.336,Та-то это не надо.
612.288,614.288,"Nö, was noch so laut."
616.032,617.032,Mm-hmm.
617.376,617.876,No.
618.24,620.24,Who can you put that in the garbage please?
620.768,621.268,See you!
621.792,622.6320000000001,"Yeah, drop it in."
623.616,624.616,123.
624.416,624.916,This is it.
626.4,626.9,Copy.
627.776,628.276,Let's go!
628.992,629.492,Go!
631.136,631.636,I'm happy.
631.936,633.936,드러냈습니다.
634.976,635.816,Oh no.
635.712,637.712,we need to take more anymore.
637.344,638.504,put the diaper in the garbage.
640.8,641.3,Bye!
641.376,642.376,Yeah.
642.336,643.576,Let me go this way.
644.256,646.256,Let's go have some milk.
646.016,646.516,Yeah.
647.008,649.008,you can try to do it.
650.24,651.24,Yeah.
651.68,652.68,is that.
651.968,652.968,happen.
654.208,655.208,This is it.
655.968,658.4879999999999,"and also for the day, for the day, for the day, for the day."
659.616,660.116,Bye-bye.
661.056,662.056,Nice!
661.792,662.792,拜拜
663.616,664.116,Bye-bye!
665.152,665.9920000000001,Bye bye!
667.104,668.104,Thanks.
672.032,674.032,"Alright, we'll do that."
672.864,673.864,some milk.
673.344,675.344,much.
673.632,674.632,Friends.
676.928,678.928,It's ready for-
677.536,678.536,to milk.
680.224,681.5840000000001,"So yeah, getting your breakfast."
682.304,684.504,"Okay, yeah, your sweater."
688.96,689.96,Let's up.
689.504,690.504,Yeah.
691.04,692.04,Batchin.
694.336,695.336,Do you think?
694.688,695.728,That means don't you?
696.16,697.16,That's it.
696.544,697.544,lower.
698.272,699.272,Mm-hmm.
698.848,700.848,hour.
701.728,702.728,to.
707.552,708.052,Bye!
709.6,710.6,Yeah.
710.176,712.176,nursing pads.
712.544,713.544,That's all.
714.848,715.848,project.
715.168,716.168,So no.
716.48,717.72,"Oh, it does kind of look like some."
717.76,718.76,Thank you.
718.112,719.112,Anyway.
718.976,719.976,Thank you.
720.864,721.864,Thanks for watching.
721.344,722.344,Nope.
729.664,730.664,Bye.
730.016,731.016,Let's see what we do next.
730.56,731.56,to know.
731.52,732.52,going to be 10.
732.32,733.32,Good soon.
733.664,735.664,"Ja, to jest mam ist."
735.68,737.68,That wasn't we don't.
736.544,738.544,with.
738.144,739.144,Hmm.
738.88,739.38,Yeah.
742.08,743.08,No.
745.408,746.408,I like it.
748.192,749.192,Bye-bye.
748.768,749.768,please.
760.8,761.3,Yeah.
764.64,765.96,You tend to put your shirt on with-
765.76,766.76,your night down on.
767.936,769.1360000000001,"That's what you want, isn't it?"
769.568,771.568,What was this shirt you wanted?
772.544,773.044,Yeah.
774.176,775.916,"Yeah, your sister show is over."
777.6,779.6,how about you have
778.144,780.144,the marks so we can go to school.
782.496,784.496,It's the most speaking of the world.
784.928,785.428,Again!
790.752,791.252,What do you think?
791.968,793.968,tomorrow is my birthday.
796.672,797.672,Oh yeah!
798.688,799.188,I'm not...
800.992,801.492,Bye.
801.472,802.472,Yeah.
801.824,802.324,What?
802.432,803.432,to see that.
804.032,805.032,You see the presence?
806.816,807.316,對啊
818.72,820.12,"okay, look at that."
821.152,822.152,Thank you.
823.456,825.456,You need a way to set up.
825.856,827.856,"Sure, I don't want you following off the bench."
831.936,833.236,Pay attention to what you're doing please.
833.888,835.168,I'm not just in that kind of hurt.
838.976,839.816,and I'll show you now.
854.656,855.656,See you next time.
855.552,856.6320000000001,See you soon.
856.288,857.288,Thank you.
866.336,867.336,Yep.
866.784,868.784,Join me.
867.168,868.168,letter.
882.432,883.432,button.
887.648,889.648,a positive.
888.352,889.352,for you.
888.928,889.428,Bye.
889.44,889.94,Bye!
891.488,892.8080000000001,Make it in your little bigger.
892.96,893.96,どうして?
893.888,895.888,hard.
896.576,897.696,There's not the bailing.
897.888,898.888,Thank you.
898.304,899.304,on that.
898.848,899.848,That makes it.
899.584,900.584,It's certainly harder.
900.672,901.672,だっ
901.344,903.344,Wir ricken Getrei rein.
909.216,912.216,"Well, but we also have to see that money because all that stuff"
912.256,913.256,"Money, right?"
916.608,917.608,right.
919.936,920.436,Bye.
924.608,925.608,Bye!
930.592,932.592,Let's like the book you're sister that.
932.992,933.992,See you next time.
935.68,938.16,Remember what all the animals giving them was for her name?
940.192,941.232,you play in a tabak.
942.624,943.124,Okay.
943.072,945.072,I want you to finish your cereal.
945.024,947.024,today.
945.344,947.844,time to get past the mushy tea.
947.36,947.64,I'm gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who's gonna be the one who
949.568,951.568,"You okay, Madison?"
951.584,952.574,C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C
954.368,955.368,Much was.
957.376,958.376,head hurts.
959.84,961.84,I'm gonna do this.
964.032,965.032,Thank you.
