start,end,text
13.28,17.416,Thank you.
22.08,23.08,.
106.24,107.24,Thank you.
113.344,113.844,B-
113.76,175.816,Thank you.
178.4,179.4,來
185.248,186.248,Okay.
185.472,186.472,Good.
189.664,190.836,Ah!
201.856,202.356,What?
231.744,232.744,Bye.
231.904,232.904,I have
232.224,233.224,Bye.
236.096,236.596,Yo!
238.112,239.112,No.
240.064,241.064,Thank you.
241.472,242.472,I'm sorry.
243.136,243.636,Oh!
243.776,244.776,Ah!
246.848,247.348,Hmm.
270.752,271.752,Yeah.
274.688,275.688,Bye.
289.792,290.792,Thank you.
291.36,292.36,.
301.728,302.228,Ah!
304.768,305.268,Oh!
305.696,312.648,Thank you.
366.272,367.272,I'm sorry.
369.472,370.472,Thank you.
387.072,389.072,you
420.8,421.3,Okay.
460.576,461.416,Bye!
462.88,463.88,I'm sorry.
463.968,464.968,Shots of rats.
465.344,466.344,I know.
467.168,469.168,I'm going to be a little bit more
467.872,469.872,"Well,"
470.56,471.06,Bye!
470.88,471.88,Thank you.
471.232,472.232,Bye.
473.408,474.408,Thank you.
477.152,477.652,Yeah.
477.696,478.696,I'm sorry.
478.432,478.932,Ah!
483.968,484.158,"구독, 좋아요, 좋아요"
497.664,498.164,Yeah.
499.424,500.424,See you.
499.744,500.744,Thank you.
499.936,500.936,Bye.
500.224,501.224,So...
501.408,501.908,謝謝大家
501.92,502.42,What the hell?
503.072,504.072,Thank you.
505.184,506.184,Bye.
507.104,507.604,자!
507.584,508.584,私の出す
509.792,510.792,Oh!
519.936,520.436,네?
522.336,523.336,Thank you.
525.28,525.78,응?
525.984,526.984,What?
526.848,527.848,You do the diaper.
527.84,528.84,Thank you.
528.64,529.84,Bye!
530.304,531.304,I'm sorry.
530.72,531.22,Yeah.
531.072,533.072,dirty day.
531.712,532.212,What are you doing?
532.288,534.288,good.
533.28,534.28,Thank you.
533.664,534.504,I'm gonna go.
538.048,538.878,お疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお疲れ様にお
539.424,540.424,You're gonna carry this.
540.288,540.788,안녕!
541.44,542.44,Okay.
541.696,543.696,"Well,"
543.776,544.616,I'm gonna carry that.
544.64,545.14,Okay.
547.168,547.668,Oh my god.
551.296,553.296,"So, let's forget these things."
553.504,555.004,오!
556.224,556.724,Later.
557.664,558.164,안녕하십니까?
559.36,561.36,This is just...
560.608,570.088,Thank you.
580.672,581.672,Take it out.
581.152,581.9920000000001,So that's when the go.
581.856,582.856,Hit.
582.912,584.912,아..
583.296,583.796,안녕!
586.112,587.112,Thanks.
586.336,586.836,Yeah!
586.912,587.412,Oh.
588.16,589.16,Take a look.
589.248,591.248,またね
591.008,591.508,Bye!
591.872,592.872,"See you later, hi."
594.656,595.656,Bye!
596.128,596.628,Yeah.
596.64,598.64,Stella's eating her back.
597.76,598.76,it.
598.08,600.08,Thanks for watching!
598.976,599.976,She's having...
599.584,600.584,Thank you.
599.872,600.872,cereal.
602.208,604.208,can you throw that in my garbage furnace?
604.608,606.608,Today for Goose and the Garbage.
606.048,606.548,But did it?
607.456,608.456,Thank you.
610.336,611.386,Та-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-х-
612.288,613.288,Neuf's noch.
616.032,617.032,Mm-hmm.
617.376,617.876,No.
618.24,620.24,Who can you put that in the garbage please?
620.768,621.268,Bye!
621.792,622.6320000000001,"Yeah, drop it in."
623.616,624.616,123.
624.416,624.916,This is it.
626.4,627.4,Copy.
627.136,628.136,Thank you.
627.776,628.276,Let's go!
628.992,629.492,Go!
630.336,631.336,Okay.
631.136,632.136,I'm happy.
631.744,632.744,Thank you.
631.936,633.936,드러냈습니다.
634.976,635.816,Oh no.
635.712,637.712,We don't need to take bread anymore.
637.344,639.344,put the diaper in the garbage.
640.8,641.3,Bye!
641.376,641.876,Yeah.
642.336,643.5360000000001,Let me go this way.
644.256,646.256,Let's go have some milk.
646.016,646.516,Yeah.
647.008,649.008,you can try to make sure you don't get too much of the stuff you want.
650.24,651.24,Oh yeah.
651.264,652.264,Yeah.
651.68,652.68,is that?
651.968,652.968,happen.
652.256,654.952,Okay.
654.208,654.708,What's this in?
655.968,657.968,and also to the side where you can get a baby.
657.312,658.312,Thanks.
659.2,660.2,Yeah.
659.616,660.116,Bye-bye.
661.056,662.056,Nice!
661.792,662.792,小小 拜拜
663.616,665.652,Bye bye!
667.104,668.104,Thanks.
672.032,673.032,"Alright, we'll do it."
672.864,673.864,some milk.
673.344,674.344,Thank you.
673.632,674.632,Friend?
676.928,678.928,It's ready for...
677.536,679.536,milk.
680.224,681.5440000000001,"So yeah, I'm getting a breakfast."
682.304,684.584,"Okay, yeah, you're sweater."
688.96,689.96,That's up.
689.312,690.312,Bye.
689.504,690.504,Yeah.
691.04,692.04,That's it.
692.864,693.864,Yeah.
694.336,695.336,Do you think?
694.688,695.688,That means don't you?
696.16,697.16,That's it.
696.544,697.544,lower.
698.272,699.272,Mm-hmm.
698.848,699.848,hour.
701.504,702.504,Bye.
701.728,702.728,to.
707.296,708.296,Bye.
707.552,708.052,Bye!
709.6,710.6,Yeah.
710.176,712.176,nursing pads.
712.544,713.544,That's all.
714.496,715.496,Thank you.
714.848,715.848,project.
715.168,716.168,So no?
716.48,718.48,"Oh, it does kind of look like some."
717.76,718.76,Thank you.
718.112,718.612,Anyway.
718.976,721.544,Thank you.
